Station_ID,Station Name,Date,Time,Parameter (units),Results,RDL
1669,BLOC001.3-4177,4/9/2018,10:30,Chloride (mg/l),13.1,2
1669,BLOC001.3-4177,4/9/2018,10:30,Nitrate-N (mg/l),0.96,0.2
1669,BLOC001.3-4177,4/9/2018,10:30,Sulfate (mg/l),8,2
1669,BLOC001.3-4177,4/9/2018,10:30,T Org Carbon (mg/l),1.2,1
1669,BLOC001.3-4177,4/9/2018,10:30,"Alkalinity, Total (mg/l)",16,5
1669,BLOC001.3-4177,4/9/2018,10:30,Specific Con (umho/cm),82,1
1669,BLOC001.3-4177,4/9/2018,10:30,pH (None),7.22,
1669,BLOC001.3-4177,4/9/2018,10:30,TDS (mg/l),36,5
1669,BLOC001.3-4177,4/9/2018,10:30,Bromide (ug/l),Present Below Quantification Limit,10
1669,BLOC001.3-4177,4/9/2018,10:30,Hot Acidity (mg/l),Present Below Quantification Limit,3
1669,BLOC001.3-4177,4/9/2018,10:30,Phosphorus (mg/l),0.013,0.01
1669,BLOC001.3-4177,4/9/2018,10:30,Aluminum (mg/l),Present Below Quantification Limit,0.05
1669,BLOC001.3-4177,4/9/2018,10:30,Iron (mg/l),0.045,0.03
1669,BLOC001.3-4177,4/9/2018,10:30,Magnesium (mg/l),1.2,0.05
1669,BLOC001.3-4177,4/9/2018,10:30,Manganese  (mg/l),0.013,0.0025
1669,BLOC001.3-4177,4/9/2018,10:30,Potassium (mg/l),0.64,0.25
1669,BLOC001.3-4177,4/9/2018,10:30,Sodium (mg/l),6.6,0.25
1669,BLOC001.3-4177,4/9/2018,10:30,Strontium (mg/l),0.032,0.0025
1669,BLOC001.3-4177,4/9/2018,10:30,Barium (mg/l),0.027,0.005
1669,BLOC001.3-4177,4/9/2018,10:30,Calcium T (mg/l),7.8,0.05
1669,BLOC001.3-4177,4/9/2018,10:30,Gross Alpha (pCi/L),ND,
1669,BLOC001.3-4177,4/9/2018,10:30,Gross Beta (pCi/L),ND,
92,LPIN000.2-4177,4/10/2018,7:00,Gross Alpha (pCi/L),ND,
92,LPIN000.2-4177,4/10/2018,7:00,Gross Beta (pCi/L),ND,
92,LPIN000.2-4177,4/10/2018,7:00,Chloride (mg/l),5,2
92,LPIN000.2-4177,4/10/2018,7:00,Nitrate-N (mg/l),0.48,0.2
92,LPIN000.2-4177,4/10/2018,7:00,Sulfate (mg/l),15.6,2
92,LPIN000.2-4177,4/10/2018,7:00,T Org Carbon (mg/l),1.2,1
92,LPIN000.2-4177,4/10/2018,7:00,"Alkalinity, Total (mg/l)",10,5
92,LPIN000.2-4177,4/10/2018,7:00,Specific Con (umho/cm),71,1
92,LPIN000.2-4177,4/10/2018,7:00,pH (None),6.98,
92,LPIN000.2-4177,4/10/2018,7:00,TDS (mg/l),42,5
92,LPIN000.2-4177,4/10/2018,7:00,Bromide (ug/l),Present Below Quantification Limit,10
92,LPIN000.2-4177,4/10/2018,7:00,Hot Acidity (mg/l),Present Below Quantification Limit,3
92,LPIN000.2-4177,4/10/2018,7:00,Aluminum (mg/l),Present Below Quantification Limit,0.05
92,LPIN000.2-4177,4/10/2018,7:00,Iron (mg/l),0.047,0.03
92,LPIN000.2-4177,4/10/2018,7:00,Magnesium (mg/l),2.1,0.05
92,LPIN000.2-4177,4/10/2018,7:00,Manganese  (mg/l),0.027,0.0025
92,LPIN000.2-4177,4/10/2018,7:00,Potassium (mg/l),0.57,0.25
92,LPIN000.2-4177,4/10/2018,7:00,Sodium (mg/l),3.2,0.25
92,LPIN000.2-4177,4/10/2018,7:00,Strontium (mg/l),0.027,0.0025
92,LPIN000.2-4177,4/10/2018,7:00,Barium (mg/l),0.021,0.005
92,LPIN000.2-4177,4/10/2018,7:00,Calcium T (mg/l),6.8,0.05
92,LPIN000.2-4177,4/10/2018,7:00,Phosphorus (mg/l),0.029,0.01
1806,MARS001.5-4177,4/10/2018,10:30,Gross Alpha (pCi/L),ND,
1806,MARS001.5-4177,4/10/2018,10:30,Gross Beta (pCi/L),ND,
1806,MARS001.5-4177,4/10/2018,10:30,Chloride (mg/l),10.9,2
1806,MARS001.5-4177,4/10/2018,10:30,Nitrate-N (mg/l),Present Below Quantification Limit,0.2
1806,MARS001.5-4177,4/10/2018,10:30,Sulfate (mg/l),7.7,2
1806,MARS001.5-4177,4/10/2018,10:30,T Org Carbon (mg/l),2.6,1
1806,MARS001.5-4177,4/10/2018,10:30,"Alkalinity, Total (mg/l)",37,5
1806,MARS001.5-4177,4/10/2018,10:30,Specific Con (umho/cm),100,1
1806,MARS001.5-4177,4/10/2018,10:30,pH (None),7.38,
1806,MARS001.5-4177,4/10/2018,10:30,TDS (mg/l),49,5
1806,MARS001.5-4177,4/10/2018,10:30,Bromide (ug/l),Present Below Quantification Limit,10
1806,MARS001.5-4177,4/10/2018,10:30,Hot Acidity (mg/l),Present Below Quantification Limit,3
1806,MARS001.5-4177,4/10/2018,10:30,Aluminum (mg/l),0.15,0.05
1806,MARS001.5-4177,4/10/2018,10:30,Iron (mg/l),0.28,0.03
1806,MARS001.5-4177,4/10/2018,10:30,Magnesium (mg/l),1.9,0.05
1806,MARS001.5-4177,4/10/2018,10:30,Manganese  (mg/l),0.042,0.0025
1806,MARS001.5-4177,4/10/2018,10:30,Potassium (mg/l),0.93,0.25
1806,MARS001.5-4177,4/10/2018,10:30,Sodium (mg/l),6.5,0.25
1806,MARS001.5-4177,4/10/2018,10:30,Strontium (mg/l),0.046,0.0025
1806,MARS001.5-4177,4/10/2018,10:30,Barium (mg/l),0.029,0.005
1806,MARS001.5-4177,4/10/2018,10:30,Calcium T (mg/l),11.1,0.05
1806,MARS001.5-4177,4/10/2018,10:30,Phosphorus (mg/l),0.054,0.01
1731,LONG001.3-4177,4/10/2018,14:45,Gross Alpha (pCi/L),ND,
1731,LONG001.3-4177,4/10/2018,14:45,Gross Beta (pCi/L),ND,
1731,LONG001.3-4177,4/10/2018,14:45,Chloride (mg/l),4.5,2
1731,LONG001.3-4177,4/10/2018,14:45,Nitrate-N (mg/l),0.2,0.2
1731,LONG001.3-4177,4/10/2018,14:45,Sulfate (mg/l),7.3,2
1731,LONG001.3-4177,4/10/2018,14:45,T Org Carbon (mg/l),1.4,1
1731,LONG001.3-4177,4/10/2018,14:45,"Alkalinity, Total (mg/l)",26,5
1731,LONG001.3-4177,4/10/2018,14:45,Specific Con (umho/cm),68,1
1731,LONG001.3-4177,4/10/2018,14:45,pH (None),7.31,
1731,LONG001.3-4177,4/10/2018,14:45,TDS (mg/l),27,5
1731,LONG001.3-4177,4/10/2018,14:45,Bromide (ug/l),Present Below Quantification Limit,10
1731,LONG001.3-4177,4/10/2018,14:45,Hot Acidity (mg/l),Present Below Quantification Limit,3
