Station_ID,Station Name,Date,Time,Parameter (units),Results,RDL
72,PINE001.1-4177,10/7/2002,16:45,Specific Con (umho/cm),147.7,
72,PINE001.1-4177,10/7/2002,16:45,pH (None),7.8,
72,PINE001.1-4177,10/7/2002,16:45,Alkalinity (mg/l),28,
72,PINE001.1-4177,10/7/2002,16:45,TSS (mg/l),2,
72,PINE001.1-4177,10/7/2002,16:45,Nitrogen TOT (mg/l),0.25,
72,PINE001.1-4177,10/7/2002,16:45,Ammonia-N T (mg/l),0.25,
72,PINE001.1-4177,10/7/2002,16:45,Nitrite-N T (mg/l),Present Below Quantification Limit,0.04
72,PINE001.1-4177,10/7/2002,16:45,Nitrate-N (mg/l),Present Below Quantification Limit,0.04
72,PINE001.1-4177,10/7/2002,16:45,Phosphorus (mg/l),Present Below Quantification Limit,0.01
72,PINE001.1-4177,10/7/2002,16:45,T Org Carbon (mg/l),2.3,
72,PINE001.1-4177,10/7/2002,16:45,Hardness T (mg/l),57,
72,PINE001.1-4177,10/7/2002,16:45,Calcium T (mg/l),16.7,
72,PINE001.1-4177,10/7/2002,16:45,Magnesium (mg/l),3.67,
72,PINE001.1-4177,10/7/2002,16:45,Sodium (mg/l),5.5,
72,PINE001.1-4177,10/7/2002,16:45,Potassium T (mg/l),1.63,
72,PINE001.1-4177,10/7/2002,16:45,Chloride (mg/l),7.6,
72,PINE001.1-4177,10/7/2002,16:45,Sulfate (mg/l),27.4,
72,PINE001.1-4177,10/7/2002,16:45,Fluoride T (mg/l),Present Below Quantification Limit,0.2
72,PINE001.1-4177,10/7/2002,16:45,Copper T (ug/l),Present Below Quantification Limit,10
72,PINE001.1-4177,10/7/2002,16:45,Iron (ug/l),39,
72,PINE001.1-4177,10/7/2002,16:45,Lead T (ug/l),Present Below Quantification Limit,1
72,PINE001.1-4177,10/7/2002,16:45,Manganese (ug/l),18,
72,PINE001.1-4177,10/7/2002,16:45,Nickel T (ug/l),Present Below Quantification Limit,4
