Activity,Station_ID,Station Name,Gear,SRBC Method,Date,Time,Macrostemum,Count
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Acentrella,1
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Acroneuria,4
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Ceratopsyche,3
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Cheumatopsyche,2
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Chimarra,9
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Chironomidae,1
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Corydalus,6
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Hemerodromia,2
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Hydropsyche,1
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Isonychia,65
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Neureclipsis,1
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Optioservus,6
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Paragnetina,1
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Promoresia,1
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Simulium,2
Macros,229,BABB000.1-4177,Kick Net,BENT-001,10/8/2002,9:30,Stenonema,2
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Acroneuria,2
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Agnetina,4
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Alloperla,1
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Boyeria,2
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Ceratopsyche,44
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Cheumatopsyche,7
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Chimarra,46
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Chironomidae,4
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Hemerodromia,1
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Heptagenia,2
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Hexatoma,6
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Hydropsyche,4
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Isonychia,34
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Leuctra,1
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Nigronia,4
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Paragnetina,1
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Paraleptophlebia,2
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Peltoperla,1
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Pteronarcys,1
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Serratella,1
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Stenelmis,1
Macros,230,BABB007.2-4177,Kick Net,BENT-001,10/8/2002,12:45,Stenonema,38
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Acentrella,3
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Acroneuria,37
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Argia,4
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Atherix,3
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Ceratopsyche,42
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Cheumatopsyche,49
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Chimarra,12
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Chironomidae,8
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Corydalus,3
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Ephemerella,2
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Hydropsyche,2
Macros,92,LPIN000.2-4177,Kick Net,BENT-001,10/9/2002,10:30,Isonychia,42
